Year,Quarter,Department,Role,EmployeeID,PerformanceScore,TasksCompleted,HoursWorked
2022,Q1,Sales,Manager,E001,85,50,400
2022,Q1,Sales,Analyst,E002,78,45,420
2022,Q1,IT,Developer,E003,92,60,380
2022,Q2,Sales,Manager,E001,88,52,410
2022,Q2,Sales,Analyst,E002,80,47,415
2022,Q2,IT,Developer,E003,90,58,390
2023,Q1,Sales,Manager,E001,90,55,405
2023,Q1,Sales,Analyst,E002,82,50,425
2023,Q1,IT,Developer,E003,95,65,375
2023,Q2,Sales,Manager,E001,87,53,400
2023,Q2,Sales,Analyst,E002,79,48,430
2023,Q2,IT,Developer,E003,93,62,385
2024,Q1,Sales,Manager,E001,92,57,395
2024,Q1,Sales,Analyst,E002,84,52,420
2024,Q1,IT,Developer,E003,96,68,370
2024,Q2,Sales,Manager,E001,89,54,410
2024,Q2,Sales,Analyst,E002,81,49,415
2024,Q2,IT,Developer,E003,94,64,380